fast_ema_period,slow_ema_period,stop_loss_pct,take_profit_pct,strategy_type,phase,total_orders,total_positions,pnl_total,pnl_pct,win_rate,expectancy,max_winner,avg_winner,avg_loser,max_loser,profit_factor,sharpe,sortino,volatility
5,20,0.01,0.02,ema,IS,2260,565,-53.4477,-0.5345,0.2566,-0.094598,50.7757,6.6012,-2.4062,-21.012,1.0693,0.7566,1.2599,0.4284
5,20,0.01,0.04,ema,IS,2260,565,-53.4477,-0.5345,0.2566,-0.094598,50.7757,6.6012,-2.4062,-21.012,1.0693,0.7566,1.2599,0.4284
5,20,0.02,0.02,ema,IS,2260,565,-53.4477,-0.5345,0.2566,-0.094598,50.7757,6.6012,-2.4062,-21.012,1.0693,0.7566,1.2599,0.4284
5,20,0.01,0.06,ema,IS,2260,565,-53.4477,-0.5345,0.2566,-0.094598,50.7757,6.6012,-2.4062,-21.012,1.0693,0.7566,1.2599,0.4284
5,20,0.02,0.04,ema,IS,2260,565,-53.4477,-0.5345,0.2566,-0.094598,50.7757,6.6012,-2.4062,-21.012,1.0693,0.7566,1.2599,0.4284
5,20,0.02,0.06,ema,IS,2260,565,-53.4477,-0.5345,0.2566,-0.094598,50.7757,6.6012,-2.4062,-21.012,1.0693,0.7566,1.2599,0.4284
5,20,0.03,0.02,ema,IS,2260,565,-53.4477,-0.5345,0.2566,-0.094598,50.7757,6.6012,-2.4062,-21.012,1.0693,0.7566,1.2599,0.4284
5,20,0.03,0.04,ema,IS,2260,565,-53.4477,-0.5345,0.2566,-0.094598,50.7757,6.6012,-2.4062,-21.012,1.0693,0.7566,1.2599,0.4284
5,30,0.01,0.02,ema,IS,1808,452,42.0873,0.4209,0.2323,0.093114,55.2682,8.1448,-2.3433,-18.6286,1.1596,1.5408,3.1267,0.4061
5,30,0.01,0.04,ema,IS,1808,452,42.0873,0.4209,0.2323,0.093114,55.2682,8.1448,-2.3433,-18.6286,1.1596,1.5408,3.1267,0.4061
5,20,0.03,0.06,ema,IS,2260,565,-53.4477,-0.5345,0.2566,-0.094598,50.7757,6.6012,-2.4062,-21.012,1.0693,0.7566,1.2599,0.4284
5,30,0.01,0.06,ema,IS,1808,452,42.0873,0.4209,0.2323,0.093114,55.2682,8.1448,-2.3433,-18.6286,1.1596,1.5408,3.1267,0.4061
5,30,0.02,0.02,ema,IS,1808,452,42.0873,0.4209,0.2323,0.093114,55.2682,8.1448,-2.3433,-18.6286,1.1596,1.5408,3.1267,0.4061
5,30,0.02,0.04,ema,IS,1808,452,42.0873,0.4209,0.2323,0.093114,55.2682,8.1448,-2.3433,-18.6286,1.1596,1.5408,3.1267,0.4061
5,30,0.02,0.06,ema,IS,1808,452,42.0873,0.4209,0.2323,0.093114,55.2682,8.1448,-2.3433,-18.6286,1.1596,1.5408,3.1267,0.4061
